application_key,facility,parameter,monitoring_period,change,fields_changed,before_comparison,after_comparison,before_monitoring,after_monitoring,before_evidence,after_evidence,before_unresolved,after_unresolved,semantic_relation,grounding_pointer,before_state,after_state
measurement:dmr_form_value_id=3920700898,NM0028762,00530,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700899,NM0028762,00530,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700900,NM0028762,00530,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700901,NM0028762,50050,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700902,NM0028762,50050,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700903,NM0028762,50060,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700906,NM0028762,00400,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700907,NM0028762,00400,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700908,NM0028762,00530,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700909,NM0028762,00530,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700910,NM0028762,00530,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700911,NM0028762,00530,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700912,NM0028762,50050,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700913,NM0028762,50050,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700914,NM0028762,50060,2025-04-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700917,NM0028762,00400,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700918,NM0028762,00400,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700919,NM0028762,00530,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700920,NM0028762,00530,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700921,NM0028762,00530,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700922,NM0028762,00530,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700923,NM0028762,50050,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700924,NM0028762,50050,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700925,NM0028762,50060,2025-05-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700928,NM0028762,00400,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700929,NM0028762,00400,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700930,NM0028762,00530,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700931,NM0028762,00530,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700932,NM0028762,00530,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700933,NM0028762,00530,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700934,NM0028762,50050,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700935,NM0028762,50050,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700936,NM0028762,50060,2025-06-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700939,NM0028762,00400,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700940,NM0028762,00400,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700941,NM0028762,00530,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700942,NM0028762,00530,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700943,NM0028762,00530,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700944,NM0028762,00530,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700945,NM0028762,50050,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700946,NM0028762,50050,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700947,NM0028762,50060,2025-07-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700950,NM0028762,00400,2025-08-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700951,NM0028762,00400,2025-08-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700952,NM0028762,00530,2025-08-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700953,NM0028762,00530,2025-08-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700954,NM0028762,00530,2025-08-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700955,NM0028762,00530,2025-08-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
